Program Acronym,Program Full Name,User Facility Acronym,User Facility Full Name,User Facility Host Institution Acronym,User Facility Host Institution Name,Project/Experiment Title,Project/Experiment Type,Home Institution Name,Home Institution City,Home Institution State/Province/Territory,Home Institution Country,Industry?,Home Institution Type
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Frontiers in Gyrokinetic Leadership Simulation,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Frontiers in Gyrokinetic Leadership Simulation,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Frontiers in Gyrokinetic Leadership Simulation,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Function evaluations with far fewer circuit repetitions,Non-Proprietary,Azulene Labs,San Francisco,CA,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Function evaluations with far fewer circuit repetitions,Non-Proprietary,Intel Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fusion Energy Reactor Models Integrator (FERMI),Non-Proprietary,HyPerComp Inc.,Westlake Village,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fusion Energy Reactor Models Integrator (FERMI),Non-Proprietary,HyPerComp Inc.,Westlake Village,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Fusion Energy Reactor Models Integrator (FERMI),Non-Proprietary,HyPerComp Inc.,Westlake Village,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,GPU-accelerated Tensor Network Simulators for Chemistry and Condensed Matter Physics,Non-Proprietary,Cambridge Quantum,Cambridge,East of England,United Kingdom,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Gyrokinetic turbulence and transport: From basic understanding to truly predictive capability,Non-Proprietary,Sapientai,Austin,TX,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,Halogen-related Advanced Waste forms through Artificial Intelligence Integration (HAWAII),Non-Proprietary,Citrine Informatics,Redwood City,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,HEP SciDAC-5 Collaboration for Advanced Modeling of Particle Accelerators (CAMPA),Non-Proprietary,Helion ENergy,Redmond,WA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,HEP Stewardship of Accelerator Modeling,Non-Proprietary,"Omega-P, Inc.",New Haven,CT,United States,Yes,Small Business
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
ASCR,Advanced Scientific Computing Research,NERSC,National Energy Research Scientific Computing Center,LBNL,Lawrence Berkeley National Laboratory,High performance computing in support of the DIII-D National Fusion Facility,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
